Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix/Suffix,DNS_Record,Domain_Age,Domain_End,iFrame,Mouse_Over,Right_Click,Web_Forwards,Label
doiw0zuhcw9rosjhic.pages.dev,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1
ipfs.io,0,0,1,2,0,0,0,0,0,10,0,0,0,0,0,1
cloudflare-ipfs.com,0,0,1,2,0,0,0,1,0,6,0,0,0,0,0,1
start-a-complaint-meta-01061657.pages.dev,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1
distritonorte.com.mx,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,1
pub-dc4276801daa4b3cb0fcdc86b134bf2e.r2.dev,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1
trimmer.to,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1
soodaryan.github.io,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1
homepage--sso-kucoin.webflow.io,0,0,0,0,0,0,0,1,0,11,0,0,0,0,0,1
suitee-trezr-app-apps.webflow.io,0,0,0,0,0,0,0,1,0,11,0,0,0,0,0,1
sso-m-robinhoods----com-autth.webflow.io,0,0,0,0,0,0,0,1,0,11,0,0,0,0,0,1
usapholdlogin-1.gitbook.io,0,0,0,1,0,0,0,1,0,10,0,0,0,0,0,1
usupheld-lugni.gitbook.io,0,0,0,1,0,0,0,1,0,10,0,0,0,0,0,1
mettamask--exxtnson-chrome.gitbook.io,0,0,0,1,0,0,0,1,0,10,0,0,0,0,0,1
metaappealform.com,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
3656ee.com:8989,0,0,1,3,0,0,0,0,0,1,1,-1,-1,-1,-1,1
meittamaxlogiin.gitbook.io,0,0,0,1,0,0,0,0,0,10,0,0,0,0,0,1
dana-van.danakitakan.my.id,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
meine-commerz-phototan-aktualisierung.top,0,0,0,0,0,0,0,1,0,0,1,-1,-1,-1,-1,1
instagram.com.sg3.sosis-berurat.works,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
instagram.com.sg1.sosis-berurat.works,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
indranilpaul15.github.io,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1
mdfaizan-786.github.io,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1
matamsklogin.gitbook.io,0,0,0,1,0,0,0,0,0,10,0,0,0,0,0,1
claim-dana-kaget.pages.dev,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1
